beam_height,beam_length,fillet_size,beam_width,modal_frequency_1,modal_frequency_2,modal_frequency_3,modal_frequency_4,max_deformation,max_stress 
8.0,15.6,0.1,0.56,120.56449768762272,852.018422303846,942.0931430113388,1015.3390803961477,0.17437414824962616,3.2252269023203763
8.0,17.0,0.1,0.56,112.4837533920261,766.9936415061644,875.4140343660747,880.6344532933446,0.2008938491344452,2.912976407683577
11.0,10.0,0.1,0.56,214.45282161410208,1349.7793670663702,1362.1452507557804,1572.013098619032,0.05468674749135971,2.5383893406643017
11.0,11.4,0.1,0.56,185.4860781645855,1236.334645236725,1292.9280106176443,1531.1843351663658,0.07305652648210526,2.6343303474213173
11.0,12.8,0.1,0.56,171.54158846372397,1135.213864381055,1230.2527916117492,1429.579310658787,0.08574271202087402,2.608871063679827
11.0,14.2,0.1,0.56,151.2339203329031,1055.4707128018338,1176.4866481559145,1321.8274073801394,0.11048844456672668,2.5982496547691936
11.0,15.6,0.1,0.56,132.47118045033238,978.1339720807835,1123.7778466396626,1129.7312913245044,0.14447984099388123,2.744030126325605
11.0,17.0,0.1,0.56,118.24739221784452,887.8215572222741,978.5276445452267,1053.2685305429645,0.1815217286348343,2.7383343718964417
14.0,10.0,0.1,0.56,243.52349436729278,1414.944414261969,1495.266507661425,1526.9296369757164,0.04254505783319473,2.452153966908606
14.0,11.4,0.1,0.56,212.45255863155526,1300.3065888932117,1421.5032365707973,1489.42435432948,0.0558704175055027,2.451961422023461
14.0,12.8,0.1,0.56,179.65758049215285,1201.45613213087,1355.609991556434,1409.8843350524771,0.07822877913713455,2.73288528304194
14.0,14.2,0.1,0.56,143.20115240305202,1120.89823968612,1294.6890064857394,1301.2225618511566,0.12309730798006058,2.715669380571293
14.0,15.6,0.1,0.56,135.6626765631485,1054.7567183151875,1236.7204819037247,1247.7696359466088,0.13715754449367523,2.743282511797586
14.0,17.0,0.1,0.56,122.45888446453426,973.8182808071173,1088.0108053320594,1123.0409407422862,0.16878603398799896,2.718266401548029
17.0,10.0,0.1,0.56,241.62990629446648,1433.4780775612235,1472.681266399737,1588.9623955765865,0.04321964457631111,2.096129693735771
17.0,11.4,0.1,0.56,202.77162561258086,1331.994121610928,1445.2934432752847,1515.5855389003564,0.061242248862981796,2.7688043294085065
17.0,12.8,0.1,0.56,165.1425871534872,1230.3582812768445,1368.7803323935934,1445.1762233334803,0.09242715686559677,2.6289089181258323
17.0,14.2,0.1,0.56,150.7067998784237,1151.5540238063588,1271.890421438859,1388.178938731358,0.1113365963101387,3.006810173907035
17.0,15.6,0.1,0.56,130.54163745379998,1094.3913368535707,1239.5486839121309,1335.2543250346673,0.14789141714572906,2.509738207116238
17.0,17.0,0.1,0.56,120.1048340817538,1012.9939131001327,1092.0073341410045,1142.7905094930811,0.1753399521112442,2.429468313908022
20.0,10.0,0.1,0.56,285.3316261564272,1431.5477340401155,1439.1403296854062,1661.2770966276855,0.03117230348289013,2.7175382356842324
20.0,11.4,0.1,0.56,215.9250246487804,1341.5816785897657,1404.46474392254,1589.285009964541,0.05407431349158287,3.316561133698874
